Sno,State_UT,January,February,March,April
1,Uttar Pradesh,64,55,45,35
2,Maharashtra,69,67,69,71
3,Bihar,46,36,25,23
4,West Bengal,66,58,58,66
5,Madhya Pradesh,46,36,25,23
6,Tamil Nadu,73,72,70,69
7,Rajasthan,49,43,34,25
8,Karnataka,60,52,45,51
9,Gujarat,49,43,37,41
10,Andhra Pradesh,56,49,39,37
11,Odisha,60,61,63,66
12,Kerala,69,70,72,77
13,Jharkhand,60,61,63,66
14,Assam,79,65,57,68
15,Punjab,74,70,64,47
16,Chhattisgarh,60,61,63,66
17,Haryana,74,70,64,47
18,Uttarakhand,72,66,57,46
19,Goa,67,69,71,71
20,Delhi,63,55,47,34
21,Jammu and Kashmir,82,79,70,64
22,Puducherry,73,72,70,69
23,Chandigarh,74,70,64,47
24,Andaman and Nicobar Islands,74,72,71,72
