Sno,State_UT,Capital,Population,Rural_population,Urban_population,Area_SqKM,Density_perSqKM,Gender_Ratio,Age_00_19,Age_20_39,Age_40_59,Age_60_79,Age_80_,Age_missing
1,Uttar Pradesh,Lucknow,199812341,155317278,44495063,240928,828,876,94348646,57669381,30732348,13627420,1812484,1622062
2,Maharashtra,Mumbai,112374333,61556074,50818259,307713,365,960,40544482,38281546,22033674,9926741,1180194,407696
3,Bihar,Patna,104099452,92341436,11758016,94163,1102,931,51193883,29249438,15545484,7027797,679348,403502
4,West Bengal,Kolkatta,91276115,62183113,29093002,88752,1029,946,33795506,30610467,19015309,6858821,883561,112451
5,Madhya Pradesh,Bhopal,72626809,52557404,20069405,308245,236,972,31749031,22591716,12489884,5045247,668069,82862
6,Tamil Nadu,Chennai,72147030,37229590,34917440,130058,555,1037,23261295,24727305,16581867,6767748,742010,66805
7,Rajasthan,Jaipur,68548437,51500352,17048085,342239,201,868,31039443,20832238,11295016,4525085,587053,269602
8,Karnataka,Bangalore,61095297,37469335,23625962,191791,319,895,21852151,21217995,12188268,5165722,625310,45851
9,Gujarat,Gandhinagar,60439692,34694609,25745083,196024,308,979,23311373,20171297,11931619,4237497,549062,238844
10,Andhra Pradesh,Hyderabad,84580777,56361702,28219075,275045,308,883,29884539,29022840,16623726,7524038,754203,771431
11,Odisha,Bhubaneswar,41974218,34970562,7003656,155707,269,938,16001820,13511743,8357036,3586456,397992,119171
12,Telengana,Hyderabad,35003674,21395009,13608665,112077,312,818,,,,,,
13,Kerala,Thiruvananthapuram,33406061,17471135,15934926,38863,859,991,10441526,10305075,8431581,3651544,541849,34486
14,Jharkhand,Ranchi,32988134,25055073,7933061,79714,414,954,15096386,9924321,5494015,2167941,188737,116734
15,Assam,Guwahati,31205576,26807034,4398542,78438,397,953,13317480,10315085,5475643,1848969,229575,18824
16,Punjab,Chandigarh,27743338,17344192,10399146,50362,550,890,9902633,9346107,5587259,2486316,379501,41522
17,Chhattisgarh,Raipur,25545198,19607961,5937237,135191,189,928,10783678,8041269,4693227,1817130,186779,23115
18,Haryana,Chandigarh,25351462,16509359,8842103,44212,573,988,10207344,8454899,4463930,1919166,274589,31534
19,Uttarakhand,Dehradun,10086292,7036954,3049338,53483,189,853,432035,515528,345393,147714,15781,2094
20,Himachal Pradesh,Shimla,6864602,6176050,688552,55673,123,1084,2415846,2297349,1438235,596272,106737,10163
21,Tripura,Agartala,3673917,2712464,961453,10486,350,711,1375820,1283657,723280,250019,39525,1616
22,Meghalaya,Shillong,2966889,2371439,595450,22429,132,992,1504130,900656,417417,123025,15877,5784
23,Manipur,Imphal,2570390,1793875,776515,22327,122,989,1148696,971666,527635,174226,25794,7777
24,Nagaland,Kohima,1978502,1407536,570966,16579,119,973,908654,659386,306265,88920,13806,1471
25,Goa,Panaji,1458545,551731,906814,3702,394,993,432035,515528,345393,147714,15781,2094
26,Arunachal Pradesh,Itanagar,1383727,1066358,317369,83743,17,918,649329,450972,218278,56200,7439,1509
27,Mizoram,Aizawl,1097206,525435,571771,21081,52,931,466345,374812,186788,60454,8174,633
28,Sikkim,Gangtok,610577,456999,153578,7096,86,890,232874,227788,107987,36110,4642,1176
29,Delhi,Delhi,16787941,419042,16368899,1484,11297,919,6232694,6186329,3204771,1034414,113031,16702
30,Jammu and Kashmir,Jammu,12267032,9064220,3202812,125535,98,948,5478172,4011883,2113472,795786,126870,15119
31,Puducherry,Pondicherry,1247953,395200,852753,479,2598,976,400708,445592,280116,107121,13315,1101
32,Chandigarh,Chandigarh,1055450,28991,1026459,114,9252,996,370930,405956,211140,59447,7631,346
33,Dadra and Nagar Haveli and Daman and Diu,Silvassa,585764,243510,342254,603,970,973,,,,,,
34,Andaman and Nicobar Islands,Port Blair,380581,237093,143488,8249,46,912,125701,147402,81686,22951,2473,368
35,Ladakh,Leh,274000,43840,230160,96701,2.8,879,,,,,,
36,Lakshadweep,Kavaratti,64473,14141,50332,32,2013,963,22081,22622,14385,4789,481,115
